feature,importance
x_71,0
x_146,0
x_147,0
x_148,0
x_149,0
x_118,0
x_119,0
x_120,0
x_117,0
x_106,0
x_151,0
x_122,0
x_123,0
x_152,0
x_124,0
x_125,0
x_126,0
x_121,0
x_127,0
x_116,0
x_70,0
x_105,0
x_104,0
x_103,0
x_102,0
x_108,0
x_109,0
x_94,0
x_115,0
x_92,0
x_110,0
x_145,0
x_111,0
x_112,0
x_77,0
x_113,0
x_114,0
x_89,0
x_128,0
x_107,0
x_137,0
x_18,0
x_135,0
x_134,0
x_21,0
x_22,0
x_23,0
x_133,0
x_136,0
x_25,0
x_12,0
x_17,0
x_28,0
x_27,0
x_132,0
x_31,0
x_138,0
x_129,0
x_37,0
x_6,0
x_34,0
x_131,0
x_15,0
x_130,0
