iter	Passed	Remaining
402	13975	20702
403	14007	20664
404	14039	20626
405	14071	20586
406	14101	20545
407	14132	20506
408	14163	20465
409	14197	20430
410	14226	20388
411	14258	20349
412	14289	20310
413	14322	20273
414	14351	20231
415	14384	20193
416	14415	20154
417	14449	20118
418	14485	20086
419	14515	20045
420	14548	20008
421	14582	19972
422	14617	19939
423	14653	19906
424	14686	19870
425	14725	19841
426	14773	19824
427	14810	19792
428	14843	19756
429	14876	19720
430	14910	19684
431	14943	19647
432	14978	19613
433	15007	19572
434	15043	19539
435	15077	19503
436	15113	19470
437	15146	19434
438	15177	19395
439	15208	19356
440	15239	19317
441	15274	19283
442	15307	19247
443	15340	19210
444	15375	19176
445	15409	19141
446	15455	19120
447	15505	19105
448	15551	19084
449	15594	19059
450	15633	19030
451	15672	19001
452	15713	18973
453	15751	18943
454	15786	18909
455	15824	18878
456	15860	18845
457	15896	18811
458	15934	18781
459	15973	18751
460	16008	18717
461	16042	18681
462	16075	18644
463	16109	18608
464	16147	18578
465	16190	18552
466	16235	18530
467	16278	18504
468	16320	18477
469	16361	18449
470	16400	18419
471	16439	18390
472	16479	18360
473	16510	18321
474	16542	18283
475	16572	18243
476	16602	18203
477	16634	18165
478	16674	18136
479	16712	18105
480	16755	18079
481	16789	18043
482	16824	18008
483	16856	17971
484	16881	17926
485	16912	17886
486	16944	17849
487	16980	17815
488	17011	17776
489	17039	17735
490	17071	17697
491	17111	17668
492	17143	17630
493	17188	17606
494	17232	17580
495	17273	17552
496	17312	17521
497	17359	17498
498	17402	17472
499	17435	17435
500	17473	17404
501	17510	17370
502	17549	17340
503	17597	17317
504	17640	17291
505	17684	17264
506	17727	17237
507	17770	17211
508	17817	17187
509	17855	17155
510	17897	17126
511	17933	17092
512	17969	17058
513	18007	17026
514	18042	16991
515	18076	16955
516	18111	16920
517	18144	16883
518	18176	16845
519	18208	16807
520	18245	16774
521	18279	16738
522	18307	16697
523	18345	16665
524	18381	16631
525	18419	16598
526	18455	16564
527	18492	16530
528	18524	16493
529	18559	16458
530	18594	16423
531	18623	16383
532	18658	16347
533	18692	16311
534	18727	16276
535	18760	16240
536	18795	16205
537	18832	16172
538	18867	16136
539	18903	16102
540	18937	16067
541	18959	16020
542	18992	15984
543	19025	15947
544	19058	15911
545	19092	15875
546	19126	15839
547	19160	15803
548	19195	15768
549	19230	15733
550	19277	15709
551	19324	15683
552	19367	15655
553	19410	15626
554	19452	15597
555	19496	15569
556	19541	15542
557	19576	15506
558	19618	15477
559	19653	15441
560	19686	15405
561	19725	15373
562	19760	15338
563	19795	15302
564	19817	15257
565	19850	15221
566	19884	15185
567	19919	15149
568	19959	15118
569	19982	15074
570	20030	15049
571	20050	15002
572	20093	14973
573	20133	14941
574	20169	14907
575	20202	14871
576	20237	14836
577	20270	14799
578	20303	14762
579	20336	14726
580	20366	14687
581	20400	14651
582	20432	14614
583	20469	14580
584	20500	14542
585	20532	14505
586	20566	14469
587	20599	14433
588	20629	14395
589	20679	14370
590	20717	14337
591	20745	14297
592	20781	14263
593	20818	14229
594	20848	14190
595	20884	14156
596	20920	14122
597	20952	14085
598	20984	14048
599	21014	14009
600	21047	13973
601	21081	13937
602	21111	13899
603	21147	13865
604	21180	13828
605	21213	13792
606	21251	13759
607	21284	13722
608	21318	13686
609	21350	13650
610	21381	13612
611	21411	13574
612	21446	13539
613	21481	13504
614	21513	13467
615	21549	13433
616	21579	13395
617	21609	13357
618	21640	13319
619	21673	13284
620	21705	13247
621	21738	13210
622	21777	13178
623	21807	13140
624	21837	13102
625	21870	13066
626	21901	13029
627	21930	12990
628	21960	12952
629	21993	12916
630	22023	12879
631	22052	12840
632	22084	12804
633	22117	12768
634	22146	12730
635	22178	12693
636	22212	12658
637	22235	12616
638	22268	12580
639	22303	12545
640	22334	12508
641	22367	12473
642	22402	12438
643	22434	12401
644	22468	12366
645	22501	12330
646	22535	12295
647	22567	12258
648	22599	12222
649	22633	12187
650	22667	12152
651	22699	12115
652	22728	12077
653	22761	12041
654	22791	12004
655	22826	11970
656	22854	11931
657	22889	11896
658	22911	11855
659	22941	11818
660	22972	11781
661	23003	11745
662	23034	11708
663	23074	11676
664	23104	11639
665	23137	11603
666	23167	11566
667	23202	11531
668	23232	11494
669	23262	11457
670	23297	11423
671	23333	11388
672	23366	11353
673	23397	11316
674	23429	11280
675	23461	11244
676	23491	11208
677	23525	11172
678	23560	11138
679	23594	11103
680	23631	11069
681	23669	11036
682	23698	10999
683	23730	10963
684	23762	10927
685	23793	10890
686	23829	10856
687	23860	10820
688	23893	10784
689	23927	10749
690	23957	10713
691	23987	10676
692	24024	10643
693	24056	10607
694	24086	10570
695	24118	10534
696	24149	10498
697	24183	10463
698	24217	10428
699	24247	10391
700	24281	10356
701	24306	10318
702	24341	10283
703	24374	10248
704	24408	10213
705	24439	10177
706	24476	10143
707	24508	10107
708	24527	10066
709	24548	10026
710	24580	9991
711	24616	9957
712	24650	9922
713	24681	9886
714	24715	9851
715	24748	9816
716	24782	9781
717	24813	9745
718	24843	9709
719	24867	9670
720	24901	9636
721	24939	9602
722	24975	9568
723	25008	9533
724	25040	9498
725	25072	9462
726	25098	9424
727	25130	9389
728	25162	9354
729	25193	9318
730	25218	9280
731	25253	9245
732	25281	9208
733	25311	9172
734	25342	9137
735	25378	9103
736	25409	9067
737	25440	9031
738	25473	8996
739	25504	8960
740	25535	8925
741	25565	8889
742	25583	8849
743	25617	8814
744	25650	8779
745	25683	8744
746	25715	8709
747	25747	8674
748	25783	8640
749	25814	8604
750	25843	8568
751	25872	8532
752	25907	8498
753	25942	8464
754	25977	8429
755	26011	8395
756	26043	8360
757	26074	8324
758	26105	8289
759	26138	8254
760	26154	8214
761	26185	8178
762	26217	8143
763	26252	8109
764	26266	8068
765	26298	8033
766	26329	7998
767	26359	7962
768	26389	7927
769	26423	7892
770	26454	7857
771	26488	7822
772	26521	7788
773	26558	7754
774	26599	7722
775	26642	7690
776	26675	7655
777	26722	7625
778	26771	7595
779	26814	7563
780	26857	7531
781	26894	7497
782	26935	7464
783	26970	7430
784	27003	7395
785	27034	7360
786	27065	7325
787	27097	7290
788	27124	7253
789	27157	7219
790	27193	7185
791	27230	7151
792	27263	7116
793	27302	7083
794	27333	7048
795	27367	7013
796	27404	6979
797	27432	6944
798	27450	6905
799	27482	6870
800	27508	6834
801	27542	6799
802	27588	6768
803	27636	6737
804	27675	6704
805	27715	6670
806	27752	6637
807	27794	6604
808	27828	6570
809	27866	6536
810	27909	6504
811	27947	6470
812	27985	6436
813	28032	6405
814	28075	6372
815	28120	6340
816	28167	6309
817	28209	6276
818	28252	6243
819	28294	6211
820	28344	6179
821	28386	6146
822	28421	6112
823	28461	6079
824	28505	6046
825	28550	6014
826	28595	5981
827	28640	5949
828	28679	5915
829	28728	5884
830	28763	5849
831	28806	5816
832	28857	5785
833	28901	5752
834	28935	5717
835	28974	5684
836	29013	5650
837	29058	5617
838	29106	5585
839	29151	5552
840	29190	5518
841	29225	5484
842	29271	5451
843	29305	5416
844	29360	5385
845	29413	5354
846	29461	5321
847	29513	5290
848	29557	5257
849	29595	5222
850	29633	5188
851	29672	5154
852	29707	5119
853	29739	5084
854	29774	5049
855	29807	5014
856	29840	4979
857	29873	4944
858	29906	4909
859	29938	4873
860	29979	4839
861	30039	4809
862	30091	4776
863	30133	4743
864	30180	4710
865	30229	4677
866	30279	4644
867	30320	4610
868	30354	4575
869	30388	4540
870	30429	4506
871	30468	4472
872	30516	4439
873	30557	4405
874	30603	4371
875	30647	4338
876	30687	4303
877	30735	4270
878	30773	4236
879	30818	4202
880	30861	4168
881	30894	4133
882	30929	4098
883	30965	4063
884	30997	4027
885	31045	3994
886	31087	3960
887	31127	3926
888	31168	3891
889	31217	3858
890	31264	3824
891	31317	3791
892	31363	3758
893	31403	3723
894	31445	3689
895	31490	3655
896	31532	3620
897	31574	3586
898	31618	3552
899	31665	3518
900	31712	3484
901	31755	3450
902	31788	3414
903	31821	3379
904	31859	3344
905	31892	3308
906	31923	3273
907	31949	3237
908	31989	3202
909	32022	3167
910	32067	3132
911	32110	3098
912	32154	3064
913	32199	3029
914	32242	2995
915	32286	2960
916	32335	2926
917	32375	2891
918	32411	2856
919	32445	2821
920	32476	2785
921	32510	2750
922	32543	2714
923	32573	2679
924	32590	2642
925	32622	2606
926	32655	2571
927	32689	2536
928	32725	2501
929	32758	2465
930	32792	2430
931	32824	2394
932	32850	2359
933	32869	2322
934	32904	2287
935	32943	2252
936	32978	2217
937	33011	2182
938	33045	2146
939	33079	2111
940	33111	2076
941	33145	2040
942	33181	2005
943	33211	1970
944	33243	1934
945	33278	1899
946	33311	1864
947	33342	1828
948	33375	1793
949	33412	1758
950	33442	1723
951	33476	1687
952	33497	1652
953	33527	1616
954	33559	1581
955	33592	1546
956	33613	1510
957	33653	1475
958	33700	1440
959	33735	1405
960	33780	1370
961	33819	1335
962	33866	1301
963	33916	1266
964	33958	1231
